ruc;razón_social;estado;condicion;latitud;longitud;tipo_empresa;locales;oportunidad;estado;oportunidad;
20524540771;MINERA CUPRIFERA G.J. PICKMANN E.I.R.L.;ACTIVO;HABIDO;-12.1186;-77.0217;PEQUEÑA EMPRESA;10; ; ;Decil 2;41
20601431751;EURO BUS S.A.C.;ACTIVO;HABIDO;-12.1636;-76.9636;PEQUEÑA EMPRESA;10; ; ;Decil 2;42
20556931888;G BUSS S.A.C.;SUSPENSION TEMPORAL;HABIDO;-12.0756;-76.9936;;10; ; ;Decil 2;43
20187394881;MEDICOS SIN FRONTERAS ESPANA;ACTIVO;HABIDO;-12.0978;-77.0272;PEQUEÑA EMPRESA;10; ; ;Decil 2;44
20602508448;LINEA PERUANA COMPANY S.A.C. - LINEA PERUANA;ACTIVO;HABIDO;-12.0264;-76.9214;PEQUEÑA EMPRESA;10; ; ;Decil 2;45
20600927753;LOGISTICA ESPERANZA E.I.R.L.;ACTIVO;HABIDO;-12.0264;-76.9214;PEQUEÑA EMPRESA;10;Validado;Vigente;Decil 2;46
20487137422;GRUPO ROMERO CAJA SOCIEDAD ANONIMA CERRADA - GRUPORC S.A.C;ACTIVO;HABIDO;-12.0264;-76.9214;PEQUEÑA EMPRESA;10; ; ;Decil 2;47
20601276331;EMPRESA DE TRANSPORTES REAL CHANCAS EXPRESS S.A.C - TRANSPORTES REAL EXPRESS S.A.C;ACTIVO;HABIDO;-12.1636;-76.9636;PEQUEÑA EMPRESA;10; ; ;Decil 2;48
20601387540;CORPORACION DE SERVICIOS Y PROYECTOS S.A.C.;ACTIVO;HABIDO;-12.03;-77.0575;;10; ; ;Decil 2;49
20600218311;COMERCIAL Y DISTRIBUCIONES SAGITARIO S.A.C.;ACTIVO;HABIDO;-12.0483;-77.0006;PEQUEÑA EMPRESA;10; ; ;Decil 2;50
20533039601;MAFERANA TELECOMUNICACIONES S.A.C.;ACTIVO;HABIDO;-12.1072;-76.9989;PEQUEÑA EMPRESA;10; ; ;Decil 2;51
20553014841;TU PARQUEO SOCIEDAD ANONIMA CERRADA;ACTIVO;HABIDO;-12.0589;-77.0461;;10; ; ;Decil 2;52
20524879191;J & J TRANSPORTES Y SOLUCIONES INTEGRALES S.A.C;ACTIVO;HABIDO;-11.9572;-77.0494;PEQUEÑA EMPRESA;10; ; ;Decil 2;53
20601097932;SINTONIA S.A.C.;ACTIVO;HABIDO;-12.145;-77.005;PEQUEÑA EMPRESA;10; ; ;Decil 2;54
20523019393;STB GLOBAL S.A.C.;SUSPENSION TEMPORAL;HABIDO;-12.0978;-77.0272;;10; ; ;Decil 2;55
20542448602;TRANSPORTES Y SERVICIOS ACOSTA E.I.R.L.;ACTIVO;HABIDO;-12.065;-77.0308;;10; ; ;Decil 2;56
20562739646;CORPORACION DE SERVICIOS MULTIPLES SEÑOR DE ANIMAS SAC - COSEMULSA SAC;ACTIVO;HABIDO;-12.065;-77.0308;;10; ; ;Decil 2;57
20601868831;EL POTRERILLO E.I.R.L.;ACTIVO;HABIDO;-12.0844;-77.0303;PEQUEÑA EMPRESA;10; ; ;Decil 2;58
20600326385;SOPLIN SPORT SAC;SUSPENSION TEMPORAL;HABIDO;-11.9572;-77.0494;;10; ; ;Decil 2;59
20549326006;EXPRESO RONCO PERU S.A.C.;SUSPENSION TEMPORAL;HABIDO;-12.065;-77.0308;;10; ; ;Decil 2;60
20536365436;ZETA NEWS S.A.C.;ACTIVO;HABIDO;-12.0756;-77.0433;;10; ; ;Decil 2;61
20142701597;MUNICIPALIDAD PROVINCIAL DE BARRANCA;ACTIVO;HABIDO;-10.7533;-77.765;;10; ; ;Decil 2;62
20491405091;MEGA CONNECTION SOCIEDAD ANONIMA CERRADA-MEGA CONNECTION S.A.C.;ACTIVO;HABIDO;-13.0778;-76.3878;PEQUEÑA EMPRESA;10; ; ;Decil 2;63
20492478009;MAISA PERU S.A.C.;ACTIVO;HABIDO;-12.0978;-77.0272;PEQUEÑA EMPRESA;10; ; ;Decil 2;64
20545383081;HUMMER IMPORT Y EXPORT S.A.C;ACTIVO;HABIDO;-12.145;-77.005;;10; ; ;Decil 2;65
20561136573;EMPRESA DE TRANSPORTES SANTUCAR RENT A CAR S.A.C.;ACTIVO;HABIDO;-12.065;-77.0308;;10; ; ;Decil 2;66
20119661286;JUNTA DE USUARIOS DEL SECTOR HIDRAULICO CHANCAY - HUARAL;ACTIVO;HABIDO;-11.4953;-77.2069;PEQUEÑA EMPRESA;10; ; ;Decil 2;67
20514347221;UNIDAD EJECUTORA 108 PROGRAMA NACIONAL DE INFRAESTRUCTURA EDUCATIVA;ACTIVO;HABIDO;-12.0453;-77.0308;;10; ; ;Decil 2;68
20201683158;EMPRESA DE TRANSPORTES LA PERLA DEL ALTO MAYO S.A.;ACTIVO;HABIDO;-12.0297;-77.01;PEQUEÑA EMPRESA;10; ; ;Decil 2;69
20156278751;J.R. TELECOM S.R.L.;ACTIVO;HABIDO;-11.9914;-77.0708;PEQUEÑA EMPRESA;10; ; ;Decil 2;70
20387775219;TIERRA SUR ENTRETENIMIENTO S.R.L.;ACTIVO;HABIDO;-12.0589;-77.0461;PEQUEÑA EMPRESA;10; ; ;Decil 2;71
